v8-version,10,2,154,13,-node.9,0
v8-platform,macos,macos
shared-library,/Users/farid/.nvm/versions/node/v18.7.0/bin/node,0x1049e4000,0x105cceb20,77463552
shared-library,/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation,0x1985c98f0,0x1987b807c,404340736
shared-library,/usr/lib/libobjc.A.dylib,0x1981f5c00,0x19822a6b0,404340736
shared-library,/System/Library/PrivateFrameworks/CoreServicesInternal.framework/Versions/A/CoreServicesInternal,0x19b6b06f0,0x19b6e5fc0,404340736
shared-library,/usr/lib/liboah.dylib,0x1a3b55f28,0x1a3b5ae70,404340736
shared-library,/usr/lib/libfakelink.dylib,0x1a3b893dc,0x1a3b8ab80,404340736
shared-library,/usr/lib/libicucore.A.dylib,0x19b0e6624,0x19b334320,404340736
shared-library,/usr/lib/libSystem.B.dylib,0x1a3b864fc,0x1a3b86b0c,404340736
shared-library,/System/Library/PrivateFrameworks/SoftLinking.framework/Versions/A/SoftLinking,0x1a3b8bbd4,0x1a3b8be50,404340736
shared-library,/usr/lib/libc++abi.dylib,0x198513820,0x198526dd8,404340736
shared-library,/usr/lib/libc++.1.dylib,0x1984afa60,0x198507524,404340736
shared-library,/usr/lib/system/libcache.dylib,0x1a3b806a4,0x1a3b83370,404340736
shared-library,/usr/lib/system/libcommonCrypto.dylib,0x1a3b3c980,0x1a3b47a94,404340736
shared-library,/usr/lib/system/libcompiler_rt.dylib,0x1a3b6699c,0x1a3b69864,404340736
shared-library,/usr/lib/system/libcopyfile.dylib,0x1a3b5d828,0x1a3b64020,404340736
shared-library,/usr/lib/system/libcorecrypto.dylib,0x19832bc00,0x19839529c,404340736
shared-library,/usr/lib/system/libdispatch.dylib,0x1983e0fd4,0x19841ddd8,404340736
shared-library,/usr/lib/system/libdyld.dylib,0x198571510,0x1985924a8,404340736
shared-library,/usr/lib/system/libkeymgr.dylib,0x1a3b75764,0x1a3b75e50,404340736
shared-library,/usr/lib/system/libmacho.dylib,0x1a3b17640,0x1a3b1b9bc,404340736
shared-library,/usr/lib/system/libquarantine.dylib,0x1a31f2c1c,0x1a31f4bb8,404340736
shared-library,/usr/lib/system/libremovefile.dylib,0x1a3b73448,0x1a3b74c40,404340736
shared-library,/usr/lib/system/libsystem_asl.dylib,0x19d2003c4,0x19d215000,404340736
shared-library,/usr/lib/system/libsystem_blocks.dylib,0x1982c69a8,0x1982c98d0,404340736
shared-library,/usr/lib/system/libsystem_c.dylib,0x19842b1a4,0x1984a3b20,404340736
shared-library,/usr/lib/system/libsystem_collections.dylib,0x1a3b6a878,0x1a3b6e958,404340736
shared-library,/usr/lib/system/libsystem_configuration.dylib,0x1a271c54c,0x1a271f700,404340736
shared-library,/usr/lib/system/libsystem_containermanager.dylib,0x1a17a63fc,0x1a17cf6a8,404340736
shared-library,/usr/lib/system/libsystem_coreservices.dylib,0x1a38280d4,0x1a382c0d8,404340736
shared-library,/usr/lib/system/libsystem_darwin.dylib,0x19b39d418,0x19b3a4170,404340736
shared-library,/usr/lib/system/libsystem_dnssd.dylib,0x1a3b76e2c,0x1a3b7cf88,404340736
shared-library,/usr/lib/system/libsystem_featureflags.dylib,0x1984279c8,0x198429a50,404340736
shared-library,/usr/lib/system/libsystem_info.dylib,0x19859ccd0,0x1985c33d0,404340736
shared-library,/usr/lib/system/libsystem_m.dylib,0x1a3ade080,0x1a3b05ec0,404340736
shared-library,/usr/lib/system/libsystem_malloc.dylib,0x1983b42b4,0x1983d9140,404340736
shared-library,/usr/lib/system/libsystem_networkextension.dylib,0x19d180aa4,0x19d193af0,404340736
shared-library,/usr/lib/system/libsystem_notify.dylib,0x19b807888,0x19b814bf0,404340736
shared-library,/usr/lib/system/libsystem_sandbox.dylib,0x1a272148c,0x1a2725040,404340736
shared-library,/usr/lib/system/libsystem_secinit.dylib,0x1a3b6fd90,0x1a3b71388,404340736
shared-library,/usr/lib/system/libsystem_kernel.dylib,0x19852a980,0x19855be9c,404340736
shared-library,/usr/lib/system/libsystem_platform.dylib,0x198595340,0x19859b2e4,404340736
shared-library,/usr/lib/system/libsystem_pthread.dylib,0x198563ae4,0x19856e8d0,404340736
shared-library,/usr/lib/system/libsystem_symptoms.dylib,0x19e9cf6b0,0x19e9d52bc,404340736
shared-library,/usr/lib/system/libsystem_trace.dylib,0x19830e4a0,0x198323c10,404340736
shared-library,/usr/lib/system/libunwind.dylib,0x1a3b4db44,0x1a3b533c0,404340736
shared-library,/usr/lib/system/libxpc.dylib,0x1982cb29c,0x198301928,404340736
shared-library,/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit,0x19b72b68c,0x19b7de370,404340736
